"id","projeto_id","descricao","tipo","quantidade","data_utilizacao"
1,1,Compra de licenças de software,financeiro,10000,2024-01-20
2,1,Contratação de consultoria especializada,humano,1,2024-02-05
3,1,Aquisição de servidores,material,5,2024-03-15
4,2,Produção de conteúdo para campanha,humano,3,2024-02-10
5,2,Compra de espaço publicitário,financeiro,15000,2024-03-01
6,2,Aquisição de equipamentos para fotografia,material,2,2024-04-20
7,3,Compra de novos servidores,material,10,2024-03-20
8,3,Contratação de equipe de TI,humano,4,2024-04-01
9,3,Licenças de software de segurança,financeiro,20000,2024-05-10
10,4,Contratação de empresa de pesquisa de mercado,humano,1,2024-04-10
11,4,Compra de relatórios de mercado,financeiro,5000,2024-05-15
12,4,Aquisição de software de análise de dados,material,3,2024-06-01
13,5,Desenvolvimento de software de RH,humano,2,2024-05-25
14,5,Compra de licenças de software,financeiro,15000,2024-06-10
15,5,Aquisição de computadores para equipe,material,8,2024-07-05
16,6,Contratação de desenvolvedores móveis,humano,3,2024-06-05
17,6,Compra de licenças de desenvolvimento,financeiro,20000,2024-07-01
18,6,Aquisição de dispositivos para teste,material,10,2024-08-15
19,7,Produção de material gráfico,humano,2,2024-07-05
20,7,Compra de brindes para funcionários,financeiro,5000,2024-08-01
21,7,Aquisição de equipamentos de exibição,material,4,2024-09-10
22,8,Compra de software de automação,financeiro,20000,2024-08-05
23,8,Contratação de consultoria em automação,humano,1,2024-09-01
24,8,Aquisição de servidores para automação,material,3,2024-10-15
25,9,Desenvolvimento de plataforma de e-commerce,humano,4,2024-09-05
26,9,Compra de licenças de e-commerce,financeiro,25000,2024-10-01
27,9,Aquisição de servidores web,material,5,2024-11-15
28,10,Contratação de consultoria em TI,humano,2,2024-10-05
29,10,Compra de equipamentos de rede,financeiro,30000,2024-11-01
30,10,Aquisição de software de gerenciamento de projetos,material,2,2024-12-10